entry_id,period,effective_date,posting_date,debit_account,credit_account,amount_minor,amount,memo,vendor,customer,source_document_id,transaction_id,entry_type,category
JE-AP-INV-040,2026-09,2026-09-15,2026-09-15,6000-Operating,2000-AP,9091,90.91,usage overage block billed 2026-09-15,Harbor Power & Light,,INV-040,TXN-AP-INV-040,ap_invoice,volume_opex
JE-AP-INV-041,2026-09,2026-09-16,2026-09-16,6000-Operating,2000-AP,154104,1541.04,implementation hours billed 2026-09-16,CleanRoom Janitorial,,INV-041,TXN-AP-INV-041,ap_invoice,volume_opex
JE-AP-INV-042,2026-09,2026-09-17,2026-09-17,6000-Operating,2000-AP,1440117,14401.17,premium support billed 2026-09-17,Boston Edison Steam,,INV-042,TXN-AP-INV-042,ap_invoice,volume_opex
JE-AP-INV-043,2026-09,2026-09-18,2026-09-18,6000-Operating,2000-AP,85630,856.3,SaaS workspace add-on billed 2026-09-18,Acme Supply Co.,,INV-043,TXN-AP-INV-043,ap_invoice,volume_opex
JE-AP-INV-044,2026-09,2026-09-19,2026-09-19,6000-Operating,2000-AP,3993,39.93,warehouse consumables billed 2026-09-19,Figma,,INV-044,TXN-AP-INV-044,ap_invoice,volume_opex
JE-AP-INV-045,2026-09,2026-09-20,2026-09-20,6000-Operating,2000-AP,90156,901.56,colo cross-connect billed 2026-09-20,Lindholm & Ruiz LLP,,INV-045,TXN-AP-INV-045,ap_invoice,volume_opex
JE-AP-INV-046,2026-09,2026-09-21,2026-09-21,6000-Operating,2000-AP,3769,37.69,security monitoring hosts billed 2026-09-21,Notion Labs,,INV-046,TXN-AP-INV-046,ap_invoice,volume_opex
JE-AP-INV-047,2026-09,2026-09-22,2026-09-22,6000-Operating,2000-AP,16982,169.82,platform seats — monthly billed 2026-09-22,Northline Fab Group,,INV-047,TXN-AP-INV-047,ap_invoice,volume_opex
JE-AP-INV-048,2026-09,2026-09-23,2026-09-23,6000-Operating,2000-AP,7695,76.95,usage overage block billed 2026-09-23,Comcast Business,,INV-048,TXN-AP-INV-048,ap_invoice,volume_opex
JE-AP-INV-049,2026-09,2026-09-24,2026-09-24,6000-Operating,2000-AP,132208,1322.08,implementation hours billed 2026-09-24,DocuSign,,INV-049,TXN-AP-INV-049,ap_invoice,volume_opex
JE-AP-INV-050,2026-09,2026-09-25,2026-09-25,6000-Operating,2000-AP,1260017,12600.17,premium support billed 2026-09-25,Acme Supplies,,INV-050,TXN-AP-INV-050,ap_invoice,volume_opex
JE-AP-INV-051,2026-09,2026-09-26,2026-09-26,6000-Operating,2000-AP,76013,760.13,SaaS workspace add-on billed 2026-09-26,Datadog,,INV-051,TXN-AP-INV-051,ap_invoice,volume_opex
JE-AP-INV-052,2026-09,2026-09-27,2026-09-27,6000-Operating,2000-AP,34676,346.76,warehouse consumables billed 2026-09-27,Dell Technologies,,INV-052,TXN-AP-INV-052,ap_invoice,volume_opex
JE-AP-INV-053,2026-09,2026-09-01,2026-09-01,6000-Operating,2000-AP,45039,450.39,colo cross-connect billed 2026-09-01,Misc Supplies,,INV-053,TXN-AP-INV-053,ap_invoice,volume_opex
JE-AP-INV-054,2026-09,2026-09-02,2026-09-02,6000-Operating,2000-AP,2452,24.52,security monitoring hosts billed 2026-09-02,Atlassian,,INV-054,TXN-AP-INV-054,ap_invoice,volume_opex
JE-AP-INV-055,2026-09,2026-09-03,2026-09-03,6000-Operating,2000-AP,12665,126.65,platform seats — monthly billed 2026-09-03,ADP,,INV-055,TXN-AP-INV-055,ap_invoice,volume_opex
JE-AP-INV-056,2026-09,2026-09-04,2026-09-04,6000-Operating,2000-AP,6078,60.78,usage overage block billed 2026-09-04,Stripe Processing,,INV-056,TXN-AP-INV-056,ap_invoice,volume_opex
JE-AP-INV-057,2026-09,2026-09-05,2026-09-05,6000-Operating,2000-AP,110091,1100.91,implementation hours billed 2026-09-05,Vanta,,INV-057,TXN-AP-INV-057,ap_invoice,volume_opex
JE-AP-INV-058,2026-09,2026-09-06,2026-09-06,6000-Operating,2000-AP,1080104,10801.04,premium support billed 2026-09-06,Office Depot,,INV-058,TXN-AP-INV-058,ap_invoice,volume_opex
JE-AP-INV-059,2026-09,2026-09-07,2026-09-07,6000-Operating,2000-AP,66617,666.17,SaaS workspace add-on billed 2026-09-07,Orbit Analytics,,INV-059,TXN-AP-INV-059,ap_invoice,volume_opex
JE-AP-INV-060,2026-09,2026-09-08,2026-09-08,6000-Operating,2000-AP,30930,309.3,warehouse consumables billed 2026-09-08,Freightline Logistics,,INV-060,TXN-AP-INV-060,ap_invoice,volume_opex
JE-AP-INV-061,2026-09,2026-09-09,2026-09-09,6000-Operating,2000-AP,405143,4051.43,colo cross-connect billed 2026-09-09,CrowdStrike,,INV-061,TXN-AP-INV-061,ap_invoice,volume_opex
JE-AP-INV-062,2026-09,2026-09-10,2026-09-10,6000-Operating,2000-AP,1356,13.56,security monitoring hosts billed 2026-09-10,Staples Business Advantage,,INV-062,TXN-AP-INV-062,ap_invoice,volume_opex
JE-AP-INV-063,2026-09,2026-09-11,2026-09-11,6000-Operating,2000-AP,8569,85.69,platform seats — monthly billed 2026-09-11,Kendall Square Parking,,INV-063,TXN-AP-INV-063,ap_invoice,volume_opex
JE-AP-INV-064,2026-09,2026-09-12,2026-09-12,6000-Operating,2000-AP,4682,46.82,usage overage block billed 2026-09-12,Carta,,INV-064,TXN-AP-INV-064,ap_invoice,volume_opex
JE-AP-INV-065,2026-09,2026-09-13,2026-09-13,6000-Operating,2000-AP,88195,881.95,implementation hours billed 2026-09-13,Amazon Web Services,,INV-065,TXN-AP-INV-065,ap_invoice,volume_opex
JE-AP-INV-066,2026-09,2026-09-14,2026-09-14,6000-Operating,2000-AP,900208,9002.08,premium support billed 2026-09-14,Google Cloud,,INV-066,TXN-AP-INV-066,ap_invoice,volume_opex
JE-AP-INV-067,2026-09,2026-09-15,2026-09-15,6000-Operating,2000-AP,57000,570.0,SaaS workspace add-on billed 2026-09-15,GitHub,,INV-067,TXN-AP-INV-067,ap_invoice,volume_opex
JE-AP-INV-068,2026-09,2026-09-16,2026-09-16,6000-Operating,2000-AP,26963,269.63,warehouse consumables billed 2026-09-16,Snowflake,,INV-068,TXN-AP-INV-068,ap_invoice,volume_opex
JE-AP-INV-069,2026-09,2026-09-17,2026-09-17,6000-Operating,2000-AP,360026,3600.26,colo cross-connect billed 2026-09-17,Helios Hardware Supply,,INV-069,TXN-AP-INV-069,ap_invoice,volume_opex
JE-AP-INV-070,2026-09,2026-09-18,2026-09-18,6000-Operating,2000-AP,10839,108.39,security monitoring hosts billed 2026-09-18,Pagaya Coffee Service,,INV-070,TXN-AP-INV-070,ap_invoice,volume_opex
JE-AP-INV-071,2026-09,2026-09-19,2026-09-19,6000-Operating,2000-AP,4252,42.52,platform seats — monthly billed 2026-09-19,Palo Alto Networks,,INV-071,TXN-AP-INV-071,ap_invoice,volume_opex
JE-AP-INV-072,2026-09,2026-09-20,2026-09-20,6000-Operating,2000-AP,3065,30.65,usage overage block billed 2026-09-20,Acme Supplies LLC,,INV-072,TXN-AP-INV-072,ap_invoice,volume_opex
JE-AP-INV-073,2026-09,2026-09-21,2026-09-21,6000-Operating,2000-AP,66078,660.78,implementation hours billed 2026-09-21,Slack Technologies,,INV-073,TXN-AP-INV-073,ap_invoice,volume_opex
JE-AP-INV-074,2026-09,2026-09-22,2026-09-22,6000-Operating,2000-AP,720091,7200.91,premium support billed 2026-09-22,Harbor Electric,,INV-074,TXN-AP-INV-074,ap_invoice,volume_opex
JE-AP-INV-075,2026-09,2026-09-23,2026-09-23,6000-Operating,2000-AP,47604,476.04,SaaS workspace add-on billed 2026-09-23,Twilio,,INV-075,TXN-AP-INV-075,ap_invoice,volume_opex
JE-AP-INV-076,2026-09,2026-09-24,2026-09-24,6000-Operating,2000-AP,23217,232.17,warehouse consumables billed 2026-09-24,Cloudflare,,INV-076,TXN-AP-INV-076,ap_invoice,volume_opex
JE-AP-INV-077,2026-09,2026-09-25,2026-09-25,6000-Operating,2000-AP,315130,3151.3,colo cross-connect billed 2026-09-25,WeWork Cambridge,,INV-077,TXN-AP-INV-077,ap_invoice,volume_opex
JE-AP-INV-078,2026-09,2026-09-26,2026-09-26,6000-Operating,2000-AP,9743,97.43,security monitoring hosts billed 2026-09-26,Adyen NV,,INV-078,TXN-AP-INV-078,ap_invoice,volume_opex
JE-AP-INV-079,2026-09,2026-09-27,2026-09-27,6000-Operating,2000-AP,37956,379.56,platform seats — monthly billed 2026-09-27,Linear App,,INV-079,TXN-AP-INV-079,ap_invoice,volume_opex
JE-AP-INV-080,2026-09,2026-09-01,2026-09-01,6000-Operating,2000-AP,1669,16.69,usage overage block billed 2026-09-01,Helios Hardware,,INV-080,TXN-AP-INV-080,ap_invoice,volume_opex
JE-AP-INV-081,2026-09,2026-09-02,2026-09-02,6000-Operating,2000-AP,44182,441.82,implementation hours billed 2026-09-02,Cambridge Properties,,INV-081,TXN-AP-INV-081,ap_invoice,volume_opex
JE-AP-INV-082,2026-09,2026-09-03,2026-09-03,6000-Operating,2000-AP,540195,5401.95,premium support billed 2026-09-03,Lenovo,,INV-082,TXN-AP-INV-082,ap_invoice,volume_opex
JE-AP-INV-083,2026-09,2026-09-04,2026-09-04,6000-Operating,2000-AP,38208,382.08,SaaS workspace add-on billed 2026-09-04,Zoom Video,,INV-083,TXN-AP-INV-083,ap_invoice,volume_opex
JE-AP-INV-084,2026-09,2026-09-05,2026-09-05,6000-Operating,2000-AP,19250,192.5,warehouse consumables billed 2026-09-05,FedEx,,INV-084,TXN-AP-INV-084,ap_invoice,volume_opex
JE-AP-INV-085,2026-09,2026-09-06,2026-09-06,6000-Operating,2000-AP,270013,2700.13,colo cross-connect billed 2026-09-06,HubSpot,,INV-085,TXN-AP-INV-085,ap_invoice,volume_opex
JE-AP-INV-086,2026-09,2026-09-07,2026-09-07,6000-Operating,2000-AP,8426,84.26,security monitoring hosts billed 2026-09-07,Gusto Payroll,,INV-086,TXN-AP-INV-086,ap_invoice,volume_opex
JE-AP-INV-087,2026-09,2026-09-08,2026-09-08,6000-Operating,2000-AP,33639,336.39,platform seats — monthly billed 2026-09-08,Northline Fabrication,,INV-087,TXN-AP-INV-087,ap_invoice,volume_opex
JE-AP-INV-088,2026-09,2026-09-09,2026-09-09,6000-Operating,2000-AP,13552,135.52,usage overage block billed 2026-09-09,Hartford Insurance,,INV-088,TXN-AP-INV-088,ap_invoice,volume_opex
JE-AP-INV-089,2026-09,2026-09-10,2026-09-10,6000-Operating,2000-AP,22065,220.65,implementation hours billed 2026-09-10,Shadow Vendor LLC,,INV-089,TXN-AP-INV-089,ap_invoice,volume_opex
JE-AP-INV-090,2026-09,2026-09-11,2026-09-11,6000-Operating,2000-AP,360078,3600.78,premium support billed 2026-09-11,Okta,,INV-090,TXN-AP-INV-090,ap_invoice,volume_opex
JE-AP-INV-091,2026-09,2026-09-12,2026-09-12,6000-Operating,2000-AP,28591,285.91,SaaS workspace add-on billed 2026-09-12,Harbor Power & Light,,INV-091,TXN-AP-INV-091,ap_invoice,volume_opex
JE-AP-INV-092,2026-09,2026-09-13,2026-09-13,6000-Operating,2000-AP,15504,155.04,warehouse consumables billed 2026-09-13,CleanRoom Janitorial,,INV-092,TXN-AP-INV-092,ap_invoice,volume_opex
JE-AP-INV-093,2026-09,2026-09-14,2026-09-14,6000-Operating,2000-AP,225117,2251.17,colo cross-connect billed 2026-09-14,Boston Edison Steam,,INV-093,TXN-AP-INV-093,ap_invoice,volume_opex
JE-AP-INV-094,2026-09,2026-09-15,2026-09-15,6000-Operating,2000-AP,7330,73.3,security monitoring hosts billed 2026-09-15,Acme Supply Co.,,INV-094,TXN-AP-INV-094,ap_invoice,volume_opex
JE-AP-INV-095,2026-09,2026-09-16,2026-09-16,6000-Operating,2000-AP,29543,295.43,platform seats — monthly billed 2026-09-16,Figma,,INV-095,TXN-AP-INV-095,ap_invoice,volume_opex
JE-AP-INV-096,2026-09,2026-09-17,2026-09-17,6000-Operating,2000-AP,12156,121.56,usage overage block billed 2026-09-17,Lindholm & Ruiz LLP,,INV-096,TXN-AP-INV-096,ap_invoice,volume_opex
JE-AP-INV-097,2026-09,2026-09-18,2026-09-18,6000-Operating,2000-AP,198169,1981.69,implementation hours billed 2026-09-18,Notion Labs,,INV-097,TXN-AP-INV-097,ap_invoice,volume_opex
JE-CASH-PAY-AP-001,2026-09,2026-09-18,2026-09-18,2000-AP,1000-Cash,1245000,12450.0,Vendor payment INV-001,Acme Supplies,,INV-001,PAY-AP-001,ap_payment,
JE-CASH-PAY-AP-NORTHLINE,2026-09,2026-09-08,2026-09-08,2000-AP,1000-Cash,1850000,18500.0,Grouped Northline disbursement,Northline Fabrication,,INV-014,PAY-AP-NORTHLINE,ap_payment,
JE-CASH-PAY-AP-017,2026-09,2026-09-11,2026-09-11,2000-AP,1000-Cash,1000000,10000.0,International vendor wire,Helios Hardware,,INV-017,PAY-AP-017,ap_payment,
JE-CASH-PAY-AP-010,2026-09,2026-09-20,2026-09-20,2000-AP,1000-Cash,328000,3280.0,Released while invoice on hold,Office Depot,,INV-010,PAY-AP-010,ap_payment,
JE-CASH-PAY-AP-009,2026-09,2026-09-20,2026-09-20,2000-AP,1000-Cash,5000000,50000.0,Manual wire to a new vendor,Northwind Phantom LLC,,INV-009,PAY-AP-009,ap_payment,
JE-CASH-PAY-AP-012,2026-09,2026-09-23,2026-09-23,2000-AP,1000-Cash,2100000,21000.0,Paid earlier than the deferred forecast week,GitHub,,INV-012,PAY-AP-012,ap_payment,
JE-CASH-PAY-001,2026-09,2026-09-29,2026-09-29,1000-Cash,1100-AR,1200000,12000.0,Northwind receipt,,Northwind Labs,INV-AR-007,PAY-001,ar_receipt,
JE-ACC-HE-202609,2026-09,2026-09-30,2026-09-30,Utilities Expense,Accrued Expenses,478000,4780.0,Harbor Electric September accrual,Harbor Electric,,CTR-HE-001,ACC-HE-2026-09,accrual,
JE-ACC-LR-202609,2026-09,2026-09-30,2026-09-30,Legal Expense,Accrued Expenses,850000,8500.0,Legal retainer September accrual,Lindholm & Ruiz LLP,,CTR-LR-001,ACC-LR-2026-09,accrual,
JE-PRE-PRE-SFT-001-2026-09,2026-09,2026-09-30,2026-09-30,Software Subscription Expense,Prepaid Software,200000,2000.0,Amortize PRE-SFT-001,Orbit Analytics,,INV-020,TXN-PRE-SFT-001,prepaid_amortization,
JE-PRE-PRE-INS-001-2026-09,2026-09,2026-09-30,2026-09-30,Insurance Expense,Prepaid Insurance,100000,1000.0,Amortize PRE-INS-001,Hartford Insurance,,INV-019,TXN-PRE-INS-001,prepaid_amortization,
JE-FA-DELL-202609,2026-09,2026-09-30,2026-09-30,Depreciation Expense,Accumulated Depreciation - Equipment,150000,1500.0,Dell cluster September depreciation,Dell Technologies,,INV-018,FA-DELL-001,depreciation,
JE-HAP-2025-10-0001,2025-10,2025-10-20,2025-10-20,6000-Operating,1000-Cash,3011,30.11,usage overage block 2025-10,Amazon Web Services,,HAP-2025-10-0001,HAP-2025-10-0001,historical_ap,volume_opex
JE-HAP-2025-10-0002,2025-10,2025-10-20,2025-10-20,6000-Operating,1000-Cash,720022,7200.22,premium support 2025-10,Datadog,,HAP-2025-10-0002,HAP-2025-10-0002,historical_ap,volume_opex
