invoice_id,vendor_id,vendor,vendor_invoice_number,invoice_date,due_date,amount,currency,po_id,status,paid_date,period,description,journal_id
HAP-2025-10-0011,VEND-043,Adyen NV,ADY-2025-10-0011,2025-10-02,2025-11-01,424.71,USD,HPO-2025-10-0011,PAID,2025-10-20,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0011
HAP-2025-10-0012,VEND-047,Carta,CAR-2025-10-0012,2025-10-02,2025-11-01,25.32,USD,HPO-2025-10-0012,PAID,2025-10-20,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0012
HAP-2025-10-0013,VEND-051,Northwood Supply,NOR-2025-10-0013,2025-10-02,2025-11-01,61.43,USD,HPO-2025-10-0013,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0013
HAP-2025-10-0014,VEND-055,Beacon Components,BEA-2025-10-0014,2025-10-02,2025-11-01,10801.54,USD,HPO-2025-10-0014,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0014
HAP-2025-10-0015,VEND-059,Nimbus Systems,NIM-2025-10-0015,2025-10-02,2025-11-01,309.65,USD,HPO-2025-10-0015,PAID,2025-10-20,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0015
HAP-2025-10-0016,VEND-063,Alder Partners,ALD-2025-10-0016,2025-10-02,2025-11-01,121.76,USD,HPO-2025-10-0016,PAID,2025-10-20,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0016
HAP-2025-10-0017,VEND-067,Northwood Studio,NOR-2025-10-0017,2025-10-02,2025-11-01,16.87,USD,HPO-2025-10-0017,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0017
HAP-2025-10-0018,VEND-071,Beacon Supply,BEA-2025-10-0018,2025-10-02,2025-11-01,5401.98,USD,HPO-2025-10-0018,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0018
HAP-2025-10-0019,VEND-075,Nimbus Components,NIM-2025-10-0019,2025-10-02,2025-11-01,194.59,USD,HPO-2025-10-0019,PAID,2025-10-20,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0019
HAP-2025-10-0020,VEND-079,Alder Systems,ALD-2025-10-0020,2025-10-02,2025-11-01,86.2,USD,HPO-2025-10-0020,PAID,2025-10-20,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0020
HAP-2025-10-0021,VEND-083,Northwood Partners,NOR-2025-10-0021,2025-10-02,2025-11-01,137.31,USD,HPO-2025-10-0021,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0021
HAP-2025-10-0022,VEND-087,Beacon Studio,BEA-2025-10-0022,2025-10-02,2025-11-01,19802.42,USD,HPO-2025-10-0022,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0022
HAP-2025-10-0023,VEND-069,Teak Systems,TEA-2025-10-0023,2025-10-03,2025-11-02,24.0,USD,HPO-2025-10-0023,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0023
HAP-2025-10-0024,VEND-073,Harbor Partners,HAR-2025-10-0024,2025-10-03,2025-11-02,60.11,USD,HPO-2025-10-0024,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0024
HAP-2025-10-0025,VEND-077,Timber Studio,TIM-2025-10-0025,2025-10-03,2025-11-02,10800.22,USD,HPO-2025-10-0025,PAID,2025-10-21,2025-10,premium support 2025-10,JE-HAP-2025-10-0025
HAP-2025-10-0026,VEND-081,Ginkgo Supply,GIN-2025-10-0026,2025-10-03,2025-11-02,308.33,USD,HPO-2025-10-0026,PAID,2025-10-21,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0026
HAP-2025-10-0027,VEND-085,Teak Components,TEA-2025-10-0027,2025-10-03,2025-11-02,120.44,USD,HPO-2025-10-0027,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0027
HAP-2025-10-0028,VEND-089,Harbor Systems,HAR-2025-10-0028,2025-10-03,2025-11-02,15.55,USD,HPO-2025-10-0028,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0028
HAP-2025-10-0029,VEND-093,Timber Partners,TIM-2025-10-0029,2025-10-03,2025-11-02,5400.66,USD,HPO-2025-10-0029,PAID,2025-10-21,2025-10,premium support 2025-10,JE-HAP-2025-10-0029
HAP-2025-10-0030,VEND-097,Ginkgo Studio,GIN-2025-10-0030,2025-10-03,2025-11-02,193.27,USD,HPO-2025-10-0030,PAID,2025-10-21,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0030
HAP-2025-10-0031,VEND-101,Teak Supply,TEA-2025-10-0031,2025-10-03,2025-11-02,84.88,USD,HPO-2025-10-0031,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0031
HAP-2025-10-0032,VEND-105,Harbor Components,HAR-2025-10-0032,2025-10-03,2025-11-02,135.99,USD,HPO-2025-10-0032,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0032
HAP-2025-10-0033,VEND-109,Timber Systems,TIM-2025-10-0033,2025-10-03,2025-11-02,19801.1,USD,HPO-2025-10-0033,PAID,2025-10-21,2025-10,premium support 2025-10,JE-HAP-2025-10-0033
HAP-2025-10-0034,VEND-113,Ginkgo Partners,GIN-2025-10-0034,2025-10-03,2025-11-02,78.21,USD,HPO-2025-10-0034,PAID,2025-10-21,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0034
HAP-2025-10-0035,VEND-117,Teak Studio,TEA-2025-10-0035,2025-10-03,2025-11-02,49.32,USD,HPO-2025-10-0035,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0035
HAP-2025-10-0036,VEND-121,Harbor Supply,HAR-2025-10-0036,2025-10-03,2025-11-02,91.43,USD,HPO-2025-10-0036,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0036
HAP-2025-10-0037,VEND-125,Timber Components,TIM-2025-10-0037,2025-10-03,2025-11-02,14401.54,USD,HPO-2025-10-0037,PAID,2025-10-21,2025-10,premium support 2025-10,JE-HAP-2025-10-0037
HAP-2025-10-0038,VEND-129,Ginkgo Systems,GIN-2025-10-0038,2025-10-03,2025-11-02,386.65,USD,HPO-2025-10-0038,PAID,2025-10-21,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0038
HAP-2025-10-0039,VEND-133,Teak Partners,TEA-2025-10-0039,2025-10-03,2025-11-02,13.76,USD,HPO-2025-10-0039,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0039
HAP-2025-10-0040,VEND-137,Harbor Studio,HAR-2025-10-0040,2025-10-03,2025-11-02,46.87,USD,HPO-2025-10-0040,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0040
HAP-2025-10-0041,VEND-141,Timber Supply,TIM-2025-10-0041,2025-10-03,2025-11-02,9001.98,USD,HPO-2025-10-0041,PAID,2025-10-21,2025-10,premium support 2025-10,JE-HAP-2025-10-0041
HAP-2025-10-0042,VEND-145,Ginkgo Components,GIN-2025-10-0042,2025-10-03,2025-11-02,271.59,USD,HPO-2025-10-0042,PAID,2025-10-21,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0042
HAP-2025-10-0043,VEND-149,Teak Systems,TEA-2025-10-0043,2025-10-03,2025-11-02,110.2,USD,HPO-2025-10-0043,PAID,2025-10-21,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0043
HAP-2025-10-0044,VEND-153,Harbor Partners,HAR-2025-10-0044,2025-10-03,2025-11-02,167.31,USD,HPO-2025-10-0044,PAID,2025-10-21,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0044
HAP-2025-10-0045,VEND-135,Beacon Components,BEA-2025-10-0045,2025-10-04,2025-11-03,79.42,USD,HPO-2025-10-0045,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0045
HAP-2025-10-0046,VEND-139,Nimbus Systems,NIM-2025-10-0046,2025-10-04,2025-11-03,48.0,USD,HPO-2025-10-0046,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0046
HAP-2025-10-0047,VEND-143,Alder Partners,ALD-2025-10-0047,2025-10-04,2025-11-03,90.11,USD,HPO-2025-10-0047,PAID,2025-10-22,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0047
HAP-2025-10-0048,VEND-147,Northwood Studio,NOR-2025-10-0048,2025-10-04,2025-11-03,14400.22,USD,HPO-2025-10-0048,PAID,2025-10-22,2025-10,premium support 2025-10,JE-HAP-2025-10-0048
HAP-2025-10-0049,VEND-151,Beacon Supply,BEA-2025-10-0049,2025-10-04,2025-11-03,385.33,USD,HPO-2025-10-0049,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0049
HAP-2025-10-0050,VEND-155,Nimbus Components,NIM-2025-10-0050,2025-10-04,2025-11-03,12.44,USD,HPO-2025-10-0050,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0050
HAP-2025-10-0051,VEND-159,Alder Systems,ALD-2025-10-0051,2025-10-04,2025-11-03,45.55,USD,HPO-2025-10-0051,PAID,2025-10-22,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0051
HAP-2025-10-0052,VEND-163,Northwood Partners,NOR-2025-10-0052,2025-10-04,2025-11-03,9000.66,USD,HPO-2025-10-0052,PAID,2025-10-22,2025-10,premium support 2025-10,JE-HAP-2025-10-0052
HAP-2025-10-0053,VEND-167,Beacon Studio,BEA-2025-10-0053,2025-10-04,2025-11-03,270.27,USD,HPO-2025-10-0053,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0053
HAP-2025-10-0054,VEND-171,Nimbus Supply,NIM-2025-10-0054,2025-10-04,2025-11-03,108.88,USD,HPO-2025-10-0054,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0054
HAP-2025-10-0055,VEND-175,Alder Components,ALD-2025-10-0055,2025-10-04,2025-11-03,165.99,USD,HPO-2025-10-0055,PAID,2025-10-22,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0055
HAP-2025-10-0056,VEND-179,Northwood Systems,NOR-2025-10-0056,2025-10-04,2025-11-03,3601.1,USD,HPO-2025-10-0056,PAID,2025-10-22,2025-10,premium support 2025-10,JE-HAP-2025-10-0056
HAP-2025-10-0057,VEND-183,Beacon Partners,BEA-2025-10-0057,2025-10-04,2025-11-03,155.21,USD,HPO-2025-10-0057,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0057
HAP-2025-10-0058,VEND-187,Nimbus Studio,NIM-2025-10-0058,2025-10-04,2025-11-03,73.32,USD,HPO-2025-10-0058,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0058
HAP-2025-10-0059,VEND-191,Alder Supply,ALD-2025-10-0059,2025-10-04,2025-11-03,121.43,USD,HPO-2025-10-0059,PAID,2025-10-22,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0059
HAP-2025-10-0060,VEND-195,Northwood Components,NOR-2025-10-0060,2025-10-04,2025-11-03,18001.54,USD,HPO-2025-10-0060,PAID,2025-10-22,2025-10,premium support 2025-10,JE-HAP-2025-10-0060
HAP-2025-10-0061,VEND-199,Beacon Systems,BEA-2025-10-0061,2025-10-04,2025-11-03,40.15,USD,HPO-2025-10-0061,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0061
HAP-2025-10-0062,VEND-203,Nimbus Partners,NIM-2025-10-0062,2025-10-04,2025-11-03,37.76,USD,HPO-2025-10-0062,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0062
HAP-2025-10-0063,VEND-207,Alder Studio,ALD-2025-10-0063,2025-10-04,2025-11-03,76.87,USD,HPO-2025-10-0063,PAID,2025-10-22,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0063
HAP-2025-10-0064,VEND-211,Northwood Supply,NOR-2025-10-0064,2025-10-04,2025-11-03,12601.98,USD,HPO-2025-10-0064,PAID,2025-10-22,2025-10,premium support 2025-10,JE-HAP-2025-10-0064
HAP-2025-10-0065,VEND-215,Beacon Components,BEA-2025-10-0065,2025-10-04,2025-11-03,348.59,USD,HPO-2025-10-0065,PAID,2025-10-22,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0065
HAP-2025-10-0066,VEND-219,Nimbus Systems,NIM-2025-10-0066,2025-10-04,2025-11-03,134.2,USD,HPO-2025-10-0066,PAID,2025-10-22,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0066
HAP-2025-10-0067,VEND-201,Harbor Supply,HAR-2025-10-0067,2025-10-05,2025-11-04,3602.31,USD,HPO-2025-10-0067,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0067
HAP-2025-10-0068,VEND-205,Timber Components,TIM-2025-10-0068,2025-10-05,2025-11-04,156.42,USD,HPO-2025-10-0068,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0068
HAP-2025-10-0069,VEND-209,Ginkgo Systems,GIN-2025-10-0069,2025-10-05,2025-11-04,72.0,USD,HPO-2025-10-0069,PAID,2025-10-23,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0069
HAP-2025-10-0070,VEND-213,Teak Partners,TEA-2025-10-0070,2025-10-05,2025-11-04,120.11,USD,HPO-2025-10-0070,PAID,2025-10-23,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0070
HAP-2025-10-0071,VEND-217,Harbor Studio,HAR-2025-10-0071,2025-10-05,2025-11-04,18000.22,USD,HPO-2025-10-0071,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0071
HAP-2025-10-0072,VEND-221,Timber Supply,TIM-2025-10-0072,2025-10-05,2025-11-04,38.83,USD,HPO-2025-10-0072,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0072
HAP-2025-10-0073,VEND-225,Ginkgo Components,GIN-2025-10-0073,2025-10-05,2025-11-04,36.44,USD,HPO-2025-10-0073,PAID,2025-10-23,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0073
HAP-2025-10-0074,VEND-229,Teak Systems,TEA-2025-10-0074,2025-10-05,2025-11-04,75.55,USD,HPO-2025-10-0074,PAID,2025-10-23,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0074
HAP-2025-10-0075,VEND-233,Harbor Partners,HAR-2025-10-0075,2025-10-05,2025-11-04,12600.66,USD,HPO-2025-10-0075,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0075
HAP-2025-10-0076,VEND-237,Timber Studio,TIM-2025-10-0076,2025-10-05,2025-11-04,347.27,USD,HPO-2025-10-0076,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0076
HAP-2025-10-0077,VEND-241,Ginkgo Supply,GIN-2025-10-0077,2025-10-05,2025-11-04,132.88,USD,HPO-2025-10-0077,PAID,2025-10-23,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0077
HAP-2025-10-0078,VEND-245,Teak Components,TEA-2025-10-0078,2025-10-05,2025-11-04,30.99,USD,HPO-2025-10-0078,PAID,2025-10-23,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0078
HAP-2025-10-0079,VEND-249,Harbor Systems,HAR-2025-10-0079,2025-10-05,2025-11-04,7201.1,USD,HPO-2025-10-0079,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0079
HAP-2025-10-0080,VEND-253,Timber Partners,TIM-2025-10-0080,2025-10-05,2025-11-04,232.21,USD,HPO-2025-10-0080,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0080
HAP-2025-10-0081,VEND-257,Ginkgo Studio,GIN-2025-10-0081,2025-10-05,2025-11-04,97.32,USD,HPO-2025-10-0081,PAID,2025-10-23,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0081
HAP-2025-10-0082,VEND-261,Teak Supply,TEA-2025-10-0082,2025-10-05,2025-11-04,151.43,USD,HPO-2025-10-0082,PAID,2025-10-23,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0082
HAP-2025-10-0083,VEND-265,Harbor Components,HAR-2025-10-0083,2025-10-05,2025-11-04,1801.54,USD,HPO-2025-10-0083,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0083
HAP-2025-10-0084,VEND-269,Timber Systems,TIM-2025-10-0084,2025-10-05,2025-11-04,117.15,USD,HPO-2025-10-0084,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0084
HAP-2025-10-0085,VEND-273,Ginkgo Partners,GIN-2025-10-0085,2025-10-05,2025-11-04,61.76,USD,HPO-2025-10-0085,PAID,2025-10-23,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0085
HAP-2025-10-0086,VEND-277,Teak Studio,TEA-2025-10-0086,2025-10-05,2025-11-04,106.87,USD,HPO-2025-10-0086,PAID,2025-10-23,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0086
HAP-2025-10-0087,VEND-281,Harbor Supply,HAR-2025-10-0087,2025-10-05,2025-11-04,16201.98,USD,HPO-2025-10-0087,PAID,2025-10-23,2025-10,premium support 2025-10,JE-HAP-2025-10-0087
HAP-2025-10-0088,VEND-285,Timber Components,TIM-2025-10-0088,2025-10-05,2025-11-04,425.59,USD,HPO-2025-10-0088,PAID,2025-10-23,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0088
HAP-2025-10-0089,VEND-267,Nimbus Studio,NIM-2025-10-0089,2025-10-06,2025-11-05,32.2,USD,HPO-2025-10-0089,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0089
HAP-2025-10-0090,VEND-271,Alder Supply,ALD-2025-10-0090,2025-10-06,2025-11-05,7202.31,USD,HPO-2025-10-0090,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0090
HAP-2025-10-0091,VEND-275,Northwood Components,NOR-2025-10-0091,2025-10-06,2025-11-05,233.42,USD,HPO-2025-10-0091,PAID,2025-10-24,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0091
HAP-2025-10-0092,VEND-279,Beacon Systems,BEA-2025-10-0092,2025-10-06,2025-11-05,96.0,USD,HPO-2025-10-0092,PAID,2025-10-24,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0092
HAP-2025-10-0093,VEND-283,Nimbus Partners,NIM-2025-10-0093,2025-10-06,2025-11-05,150.11,USD,HPO-2025-10-0093,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0093
HAP-2025-10-0094,VEND-287,Alder Studio,ALD-2025-10-0094,2025-10-06,2025-11-05,1800.22,USD,HPO-2025-10-0094,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0094
HAP-2025-10-0095,VEND-291,Northwood Supply,NOR-2025-10-0095,2025-10-06,2025-11-05,115.83,USD,HPO-2025-10-0095,PAID,2025-10-24,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0095
HAP-2025-10-0096,VEND-295,Beacon Components,BEA-2025-10-0096,2025-10-06,2025-11-05,60.44,USD,HPO-2025-10-0096,PAID,2025-10-24,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0096
HAP-2025-10-0097,VEND-299,Nimbus Systems,NIM-2025-10-0097,2025-10-06,2025-11-05,105.55,USD,HPO-2025-10-0097,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0097
HAP-2025-10-0098,VEND-303,Alder Partners,ALD-2025-10-0098,2025-10-06,2025-11-05,16200.66,USD,HPO-2025-10-0098,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0098
HAP-2025-10-0099,VEND-307,Northwood Studio,NOR-2025-10-0099,2025-10-06,2025-11-05,424.27,USD,HPO-2025-10-0099,PAID,2025-10-24,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0099
HAP-2025-10-0100,VEND-311,Beacon Supply,BEA-2025-10-0100,2025-10-06,2025-11-05,24.88,USD,HPO-2025-10-0100,PAID,2025-10-24,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0100
HAP-2025-10-0101,VEND-315,Nimbus Components,NIM-2025-10-0101,2025-10-06,2025-11-05,60.99,USD,HPO-2025-10-0101,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0101
HAP-2025-10-0102,VEND-319,Alder Systems,ALD-2025-10-0102,2025-10-06,2025-11-05,10801.1,USD,HPO-2025-10-0102,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0102
HAP-2025-10-0103,VEND-323,Northwood Partners,NOR-2025-10-0103,2025-10-06,2025-11-05,309.21,USD,HPO-2025-10-0103,PAID,2025-10-24,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0103
HAP-2025-10-0104,VEND-002,Amazon Web Services,AMA-2025-10-0104,2025-10-06,2025-11-05,121.32,USD,HPO-2025-10-0104,PAID,2025-10-24,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0104
HAP-2025-10-0105,VEND-006,Datadog,DAT-2025-10-0105,2025-10-06,2025-11-05,16.43,USD,HPO-2025-10-0105,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0105
HAP-2025-10-0106,VEND-011,Hartford Insurance,HAR-2025-10-0106,2025-10-06,2025-11-05,5401.54,USD,HPO-2025-10-0106,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0106
HAP-2025-10-0107,VEND-015,Harbor Electric,HAR-2025-10-0107,2025-10-06,2025-11-05,194.15,USD,HPO-2025-10-0107,PAID,2025-10-24,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0107
HAP-2025-10-0108,VEND-019,Freightline Logistics,FRE-2025-10-0108,2025-10-06,2025-11-05,85.76,USD,HPO-2025-10-0108,PAID,2025-10-24,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0108
HAP-2025-10-0109,VEND-023,Notion Labs,NOT-2025-10-0109,2025-10-06,2025-11-05,136.87,USD,HPO-2025-10-0109,PAID,2025-10-24,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0109
HAP-2025-10-0110,VEND-027,Zoom Video,ZOO-2025-10-0110,2025-10-06,2025-11-05,19801.98,USD,HPO-2025-10-0110,PAID,2025-10-24,2025-10,premium support 2025-10,JE-HAP-2025-10-0110
HAP-2025-10-0111,VEND-008,Figma,FIG-2025-10-0111,2025-10-07,2025-11-06,26.09,USD,HPO-2025-10-0111,PAID,2025-10-25,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0111
HAP-2025-10-0112,VEND-013,Cambridge Properties,CAM-2025-10-0112,2025-10-07,2025-11-06,62.2,USD,HPO-2025-10-0112,PAID,2025-10-25,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0112
HAP-2025-10-0113,VEND-017,GitHub,GIT-2025-10-0113,2025-10-07,2025-11-06,10802.31,USD,HPO-2025-10-0113,PAID,2025-10-25,2025-10,premium support 2025-10,JE-HAP-2025-10-0113
HAP-2025-10-0114,VEND-021,Misc Supplies,MIS-2025-10-0114,2025-10-07,2025-11-06,310.42,USD,HPO-2025-10-0114,PAID,2025-10-25,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0114
HAP-2025-10-0115,VEND-025,Okta,OKT-2025-10-0115,2025-10-07,2025-11-06,120.0,USD,HPO-2025-10-0115,PAID,2025-10-25,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0115
HAP-2025-10-0116,VEND-029,Cloudflare,CLO-2025-10-0116,2025-10-07,2025-11-06,15.11,USD,HPO-2025-10-0116,PAID,2025-10-25,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0116
HAP-2025-10-0117,VEND-033,Staples Business Advantage,STA-2025-10-0117,2025-10-07,2025-11-06,5400.22,USD,HPO-2025-10-0117,PAID,2025-10-25,2025-10,premium support 2025-10,JE-HAP-2025-10-0117
HAP-2025-10-0118,VEND-037,Comcast Business,COM-2025-10-0118,2025-10-07,2025-11-06,192.83,USD,HPO-2025-10-0118,PAID,2025-10-25,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0118
HAP-2025-10-0119,VEND-041,HubSpot,HUB-2025-10-0119,2025-10-07,2025-11-06,84.44,USD,HPO-2025-10-0119,PAID,2025-10-25,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0119
HAP-2025-10-0120,VEND-045,Palo Alto Networks,PAL-2025-10-0120,2025-10-07,2025-11-06,135.55,USD,HPO-2025-10-0120,PAID,2025-10-25,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0120
HAP-2025-10-0121,VEND-049,Vanta,VAN-2025-10-0121,2025-10-07,2025-11-06,19800.66,USD,HPO-2025-10-0121,PAID,2025-10-25,2025-10,premium support 2025-10,JE-HAP-2025-10-0121
HAP-2025-10-0122,VEND-053,Teak Partners,TEA-2025-10-0122,2025-10-07,2025-11-06,77.77,USD,HPO-2025-10-0122,PAID,2025-10-25,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0122
