psp_reference,merchant,customer_id,customer_name,card_scheme,year,hour_of_day,minute_of_hour,day_of_year,is_credit,usd_amount,amount_minor,currency,ip_country,issuing_country,device_type,shopper_interaction,has_fraudulent_dispute,is_refused_by_adyen,processor,settled_date
MX-100000034,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,10,42,308,True,260.42,26042,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-04
MX-100000035,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,11,45,309,False,267.55,26755,USD,US,US,Android,Ecommerce,False,False,adyen,2025-11-05
MX-100000036,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,12,48,310,False,274.68,27468,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-06
MX-100000037,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,13,51,311,False,281.81,28181,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-07
MX-100000038,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,14,54,312,False,288.94,28894,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-08
MX-100000039,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,15,57,313,False,296.07,29607,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-09
MX-100000040,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,16,0,314,False,303.2,30320,USD,US,US,Windows,Ecommerce,False,False,adyen,2025-11-10
MX-100000041,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,17,3,315,False,310.33,31033,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-11
MX-100000042,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,18,6,316,False,317.46,31746,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-12
MX-100000043,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,19,9,317,False,324.59,32459,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-13
MX-100000044,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,20,12,318,False,331.72,33172,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-14
MX-100000045,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,21,15,319,False,338.85,33885,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-11-15
MX-100000046,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,22,18,320,False,345.98,34598,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-16
MX-100000047,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,23,21,321,False,353.11,35311,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-17
MX-100000048,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,0,24,322,False,360.24,36024,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-18
MX-100000049,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,1,27,323,False,367.37,36737,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-19
MX-100000050,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,2,30,324,False,374.5,37450,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-11-20
MX-100000051,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,3,33,325,True,381.63,38163,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-21
MX-100000052,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,4,36,326,False,388.76,38876,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-22
MX-100000053,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,5,39,327,False,395.89,39589,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-23
MX-100000054,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,6,42,328,False,403.02,40302,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-24
MX-100000055,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,7,45,329,False,410.15,41015,USD,US,US,Android,Ecommerce,False,False,adyen,2025-11-25
MX-100000056,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,8,48,330,False,417.28,41728,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-26
MX-100000057,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,9,51,331,False,424.41,42441,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-27
MX-100000058,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,10,54,332,False,431.54,43154,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-11-28
MX-100000059,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,11,57,333,False,18.67,1867,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-29
MX-100000060,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,12,0,334,False,25.8,2580,USD,US,US,Windows,Ecommerce,False,False,adyen,2025-11-30
MX-100000061,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,13,3,335,False,32.93,3293,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-01
MX-100000062,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,14,6,336,False,40.06,4006,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-02
MX-100000063,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,15,9,337,False,47.19,4719,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-03
MX-100000064,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,16,12,338,False,54.32,5432,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-04
MX-100000065,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,17,15,339,False,61.45,6145,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-12-05
MX-100000066,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,18,18,340,False,68.58,6858,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-06
MX-100000067,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,19,21,341,False,75.71,7571,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-07
MX-100000068,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,20,24,342,True,82.84,8284,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-08
MX-100000069,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,21,27,343,False,89.97,8997,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-09
MX-100000070,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,22,30,344,False,97.1,9710,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-12-10
MX-100000071,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,23,33,345,False,104.23,10423,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-11
MX-100000072,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,0,36,346,False,111.36,11136,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-12
MX-100000073,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,1,39,347,False,118.49,11849,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-13
MX-100000074,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,2,42,348,False,125.62,12562,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-14
MX-100000075,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,3,45,349,False,132.75,13275,USD,US,US,Android,Ecommerce,False,False,adyen,2025-12-15
MX-100000076,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,4,48,350,False,139.88,13988,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-16
MX-100000077,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,5,51,351,False,147.01,14701,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-17
MX-100000078,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,6,54,352,False,154.14,15414,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-18
MX-100000079,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,7,57,353,False,161.27,16127,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-19
MX-100000080,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,8,0,354,False,168.4,16840,USD,US,US,Windows,Ecommerce,False,False,adyen,2025-12-20
MX-100000081,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,9,3,355,False,175.53,17553,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-21
MX-100000082,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,10,6,356,False,182.66,18266,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-22
MX-100000083,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,11,9,357,False,189.79,18979,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-23
MX-100000084,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,12,12,358,False,196.92,19692,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-24
MX-100000085,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,13,15,359,True,204.05,20405,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-12-25
MX-100000086,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,14,18,360,False,211.18,21118,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-12-26
MX-100000087,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,15,21,361,False,218.31,21831,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-27
MX-100000088,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,16,24,362,False,225.44,22544,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-12-28
MX-100000089,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,17,27,363,False,232.57,23257,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-12-29
MX-100000090,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,18,30,364,False,239.7,23970,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-12-30
MX-100000091,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,19,33,365,False,246.83,24683,USD,US,US,Android,Ecommerce,False,False,stripe,2025-12-31
MX-100000092,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,20,36,1,False,253.96,25396,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-01
MX-100000093,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,21,39,2,False,261.09,26109,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-02
MX-100000094,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,22,42,3,False,268.22,26822,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-03
MX-100000095,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,23,45,4,False,275.35,27535,USD,US,US,Android,Ecommerce,False,False,adyen,2026-01-04
MX-100000096,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,0,48,5,False,282.48,28248,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-05
MX-100000097,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,1,51,6,False,289.61,28961,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-06
MX-100000098,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,2,54,7,False,296.74,29674,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-07
MX-100000099,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,3,57,8,False,303.87,30387,USD,US,US,Android,Ecommerce,False,False,stripe,2026-01-08
MX-100000100,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,4,0,9,False,311.0,31100,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-01-09
MX-100000101,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,5,3,10,False,318.13,31813,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-10
MX-100000102,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,6,6,11,True,325.26,32526,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-11
MX-100000103,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,7,9,12,False,332.39,33239,USD,US,US,Android,Ecommerce,False,False,stripe,2026-01-12
MX-100000104,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,8,12,13,False,339.52,33952,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-13
MX-100000105,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,9,15,14,False,346.65,34665,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-01-14
MX-100000106,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,10,18,15,False,353.78,35378,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-15
MX-100000107,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,11,21,16,False,360.91,36091,USD,US,US,Android,Ecommerce,False,False,stripe,2026-01-16
MX-100000108,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,12,24,17,False,368.04,36804,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-17
MX-100000109,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,13,27,18,False,375.17,37517,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-18
MX-100000110,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,14,30,19,False,382.3,38230,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-01-19
MX-100000111,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,15,33,20,False,389.43,38943,USD,US,US,Android,Ecommerce,False,False,stripe,2026-01-20
MX-100000112,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,16,36,21,False,396.56,39656,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-21
MX-100000113,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,17,39,22,False,403.69,40369,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-22
MX-100000114,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,18,42,23,False,410.82,41082,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-23
MX-100000115,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,19,45,24,False,417.95,41795,USD,US,US,Android,Ecommerce,False,False,adyen,2026-01-24
MX-100000116,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,20,48,25,False,425.08,42508,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-01-25
MX-100000117,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,21,51,26,False,432.21,43221,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-26
MX-100000118,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,22,54,27,False,19.34,1934,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-27
MX-100000119,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,23,57,28,True,26.47,2647,USD,US,US,Android,Ecommerce,False,False,stripe,2026-01-28
MX-100000120,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,0,0,29,False,33.6,3360,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-01-29
MX-100000121,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,1,3,30,False,40.73,4073,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-01-30
MX-100000122,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,2,6,31,False,47.86,4786,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-01-31
MX-100000123,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,3,9,32,False,54.99,5499,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-01
MX-100000124,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,4,12,33,False,62.12,6212,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-02
MX-100000125,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,5,15,34,False,69.25,6925,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-02-03
MX-100000126,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,6,18,35,False,76.38,7638,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-02-04
MX-100000127,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,7,21,36,False,83.51,8351,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-05
MX-100000128,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,8,24,37,False,90.64,9064,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-06
MX-100000129,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,9,27,38,False,97.77,9777,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-02-07
MX-100000130,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,10,30,39,False,104.9,10490,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-02-08
MX-100000131,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,11,33,40,False,112.03,11203,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-09
MX-100000132,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,12,36,41,False,119.16,11916,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-10
MX-100000133,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,13,39,42,False,126.29,12629,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-02-11
MX-100000134,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,14,42,43,False,133.42,13342,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-02-12
MX-100000135,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,15,45,44,False,140.55,14055,USD,US,US,Android,Ecommerce,False,False,adyen,2026-02-13
MX-100000136,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,16,48,45,True,147.68,14768,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-14
MX-100000137,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,17,51,46,False,154.81,15481,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-02-15
MX-100000138,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,18,54,47,False,161.94,16194,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-02-16
MX-100000139,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,19,57,48,False,169.07,16907,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-17
MX-100000140,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,20,0,49,False,176.2,17620,USD,US,US,Windows,Ecommerce,False,False,adyen,2026-02-18
MX-100000141,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2026,21,3,50,False,183.33,18333,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-02-19
MX-100000142,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2026,22,6,51,False,190.46,19046,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-02-20
MX-100000143,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2026,23,9,52,False,197.59,19759,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-21
MX-100000144,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2026,0,12,53,False,204.72,20472,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-22
MX-100000145,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2026,1,15,54,False,211.85,21185,USD,US,US,MacOS,Ecommerce,False,False,adyen,2026-02-23
MX-100000146,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2026,2,18,55,False,218.98,21898,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-02-24
MX-100000147,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2026,3,21,56,False,226.11,22611,USD,US,US,Android,Ecommerce,False,False,stripe,2026-02-25
MX-100000148,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2026,4,24,57,False,233.24,23324,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-02-26
MX-100000149,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2026,5,27,58,False,240.37,24037,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-02-27
MX-100000150,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2026,6,30,59,False,247.5,24750,USD,US,US,iOS,Ecommerce,False,False,adyen,2026-02-28
MX-100000151,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2026,7,33,60,False,254.63,25463,USD,US,US,Android,Ecommerce,False,False,stripe,2026-03-01
MX-100000152,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2026,8,36,61,False,261.76,26176,USD,US,US,Windows,Ecommerce,False,False,stripe,2026-03-02
MX-100000153,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2026,9,39,62,True,268.89,26889,USD,US,US,MacOS,Ecommerce,False,False,stripe,2026-03-03
MX-100000154,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2026,10,42,63,False,276.02,27602,USD,US,US,iOS,Ecommerce,False,False,stripe,2026-03-04
MX-100000155,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2026,11,45,64,False,283.15,28315,USD,US,US,Android,Ecommerce,False,False,adyen,2026-03-05
